handle,title,image_url,min_price,max_price,sizes,size_categories,shapes,colors,styles,usages,tags,is_rug_pad,embedding_text
comfg-0002c-beige,Padsecure 0002C Beige Rug Pad,https://cdn.shopify.com/s/files/1/0679/5765/3814/files/0002c.jpg?v=1762214074,7.6,151.6,[],[],['rectangle'],"['beige', 'tan']",[],[],"Category: Rug Pad/Rug Pad, Collection: COMFG, Fiber Type: Polyester, Non-Slip, Rug Pad, Shape: Rectangle, Style Type: Rug Pad, Weave: Machine-Woven",True,"Padsecure 0002C Beige Rug Pad beige tan Category: Rug Pad/Rug Pad, Collection: COMFG, Fiber Type: Polyester, Non-Slip, Rug Pad, Shape: Rectangle, Style Type: Rug Pad, Weave: Machine-Woven"
gripmax-0004e-grey,Gripmax 0004E Grey Rug Pad,https://cdn.shopify.com/s/files/1/0679/5765/3814/files/0004e.jpg?v=1762214073,15.6,191.6,[],[],['rectangle'],"['tan', 'grey']",[],[],"Category: Rug Pad/Casual, Collection: GripMax, Fiber Type: Polypropylene, Non-Slip, Rug Pad, Shape: Rectangle, Style Type: Rug Pad, Weave: Machine-Woven",True,"Gripmax 0004E Grey Rug Pad tan grey Category: Rug Pad/Casual, Collection: GripMax, Fiber Type: Polypropylene, Non-Slip, Rug Pad, Shape: Rectangle, Style Type: Rug Pad, Weave: Machine-Woven"
luxeh-0005e-grey,Cushionpro 0005E Grey Rug Pad,https://cdn.shopify.com/s/files/1/0679/5765/3814/files/0005e.jpg?v=1762214076,19.6,251.6,[],[],['rectangle'],"['tan', 'grey']",[],[],"Category: Rug Pad/Rug Pad, Collection: LUXEH, Fiber Type: Polypropylene, Non-Slip, Rug Pad, Shape: Rectangle, Style Type: Rug Pad, Weave: Machine-Woven",True,"Cushionpro 0005E Grey Rug Pad tan grey Category: Rug Pad/Rug Pad, Collection: LUXEH, Fiber Type: Polypropylene, Non-Slip, Rug Pad, Shape: Rectangle, Style Type: Rug Pad, Weave: Machine-Woven"
mai-5927b-ivory,Marina 5927B Ivory/ Navy Trefoil Outdoor Rug,https://cdn.shopify.com/s/files/1/0679/5765/3814/files/marina_5927b_4e455fde-67a6-4351-a5b2-68ac89dee5b3.jpg?v=1762561918,29.5,459.0,[],[],['rectangle'],"['tan', 'navy', 'ivory']",[],['outdoor'],"Category: Outdoor/Casual, Collection: MAI, Fiber Type: Polypropylene, Shape: Rectangle, Style Type: Outdoor, Weave: Machine-Woven",False,"Marina 5927B Ivory/ Navy Trefoil Outdoor Rug tan navy ivory outdoor Category: Outdoor/Casual, Collection: MAI, Fiber Type: Polypropylene, Shape: Rectangle, Style Type: Outdoor, Weave: Machine-Woven"
mai-5929b-navy,Marina 5929B Navy/ Grey Medallion Outdoor Rug,https://cdn.shopify.com/s/files/1/0679/5765/3814/files/marina_5929b_5d1123be-4979-48d3-a2be-9a123f3c831d.jpg?v=1762561923,29.5,459.0,[],[],['rectangle'],"['grey', 'tan', 'navy']",[],['outdoor'],"Category: Outdoor/Casual, Collection: MAI, Fiber Type: Polypropylene, Shape: Rectangle, Style Type: Outdoor, Weave: Machine-Woven",False,"Marina 5929B Navy/ Grey Medallion Outdoor Rug grey tan navy outdoor Category: Outdoor/Casual, Collection: MAI, Fiber Type: Polypropylene, Shape: Rectangle, Style Type: Outdoor, Weave: Machine-Woven"
mai-5929e-grey,Marina 5929E Grey/ Ivory Medallion Outdoor Rug,https://cdn.shopify.com/s/files/1/0679/5765/3814/files/marina_5929e_f0739ed7-67fe-4493-98d7-f6f1731a00c9.jpg?v=1762561922,29.5,459.0,[],[],['rectangle'],"['tan', 'grey', 'ivory']",[],['outdoor'],"Category: Outdoor/Casual, Collection: MAI, Fiber Type: Polypropylene, Shape: Rectangle, Style Type: Outdoor, Weave: Machine-Woven",False,"Marina 5929E Grey/ Ivory Medallion Outdoor Rug tan grey ivory outdoor Category: Outdoor/Casual, Collection: MAI, Fiber Type: Polypropylene, Shape: Rectangle, Style Type: Outdoor, Weave: Machine-Woven"
mai-5929j-tan,Marina 5929J Tan/ Ivory Medallion Outdoor Rug,https://cdn.shopify.com/s/files/1/0679/5765/3814/files/marina_5929j_8a58ef75-f585-46f0-a4ac-16aaab693f67.jpg?v=1762561924,29.5,459.0,[],[],['rectangle'],"['tan', 'ivory']",[],['outdoor'],"Category: Outdoor/Casual, Collection: MAI, Fiber Type: Polypropylene, Shape: Rectangle, Style Type: Outdoor, Weave: Machine-Woven",False,"Marina 5929J Tan/ Ivory Medallion Outdoor Rug tan ivory outdoor Category: Outdoor/Casual, Collection: MAI, Fiber Type: Polypropylene, Shape: Rectangle, Style Type: Outdoor, Weave: Machine-Woven"
mai-5929k-black,Marina 5929K Black/ Tan Medallion Outdoor Rug,https://cdn.shopify.com/s/files/1/0679/5765/3814/files/marina_5929k_b7b4aca8-5fa5-40c7-b810-c6e67f98533c.jpg?v=1762561925,29.5,459.0,[],[],['rectangle'],"['tan', 'black']",[],['outdoor'],"Category: Outdoor/Casual, Collection: MAI, Fiber Type: Polypropylene, Shape: Rectangle, Style Type: Outdoor, Weave: Machine-Woven",False,"Marina 5929K Black/ Tan Medallion Outdoor Rug tan black outdoor Category: Outdoor/Casual, Collection: MAI, Fiber Type: Polypropylene, Shape: Rectangle, Style Type: Outdoor, Weave: Machine-Woven"
mai-6025l-grey,Marina 6025L Grey/ Ivory Lattice Outdoor Rug,https://cdn.shopify.com/s/files/1/0679/5765/3814/files/marina_6025l_13553fa4-ae2b-4cf0-ae47-0d1c9f9ba285.jpg?v=1762561927,29.5,459.0,[],[],['rectangle'],"['tan', 'grey', 'ivory']",[],['outdoor'],"Category: Outdoor/Casual, Collection: MAI, Fiber Type: Polypropylene, Shape: Rectangle, Style Type: Outdoor, Weave: Machine-Woven",False,"Marina 6025L Grey/ Ivory Lattice Outdoor Rug tan grey ivory outdoor Category: Outdoor/Casual, Collection: MAI, Fiber Type: Polypropylene, Shape: Rectangle, Style Type: Outdoor, Weave: Machine-Woven"
mai-7763k-black,Marina 7763K Black/ Ivory Lattice Outdoor Rug,https://cdn.shopify.com/s/files/1/0679/5765/3814/files/marina_7763k_3df298bf-5441-4ad2-93db-d4e17b349887.jpg?v=1762561931,29.5,459.0,[],[],['rectangle'],"['tan', 'black', 'ivory']",[],['outdoor'],"Category: Outdoor/Casual, Collection: MAI, Fiber Type: Polypropylene, Shape: Rectangle, Style Type: Outdoor, Weave: Machine-Woven",False,"Marina 7763K Black/ Ivory Lattice Outdoor Rug tan black ivory outdoor Category: Outdoor/Casual, Collection: MAI, Fiber Type: Polypropylene, Shape: Rectangle, Style Type: Outdoor, Weave: Machine-Woven"
